stock_code,income_total
1,0.9561928279419936
2,-1.2501302503782104
4,-4.492422578133636
5,-1.4832000261244145
6,-1.2430163994086327
7,0.0
8,-2.7302727519395504
9,-1.608805738990065
10,-3.556649731402147
11,-3.963251046347685
12,1.6320794940969956
14,-1.6217105966137295
16,-2.813791357358532
17,-3.1859574979319376
18,-3.238902301076445
19,-1.8437938536931184
20,-2.8318265460226075
21,-0.5236916486412314
22,4.390212412331978
23,0.0
25,-2.1804649754871583
26,-0.7427039401829031
27,1.5738613557791723
28,0.0
29,0.0
30,-1.379851715636201
31,2.638072132884425
32,-0.5147515254242486
34,0.4307652298146337
35,-0.4689764160099865
36,-0.12303294324999865
37,7.928661069672755
38,-4.017461240128525
39,2.7913638937631835
40,2.3398098385323114
42,0.0
43,2.282135600208372
45,-3.3748905476892377
46,-1.3799644969942544
48,0.0
49,-0.314638678516533
50,0.0
55,-3.5308918032822256
56,0.0
58,-0.09565985401468123
59,-3.117965380909556
60,-0.25000859047376234
61,-1.1754773508606469
62,0.0
63,-0.19721176698072546
65,8.34825003420029
66,6.931078229042512
68,0.0
69,3.9488651897003
70,-1.2309088884112684
78,6.310610838312319
88,3.006456844816352
89,1.3470125966864337
90,-0.4342589703347541
96,0.0
99,-1.6362723295233743
100,3.069400645164364
150,0.0
151,-0.7159552466866721
153,0.0
156,0.33830449981847155
157,3.2398302382202404
158,-0.9259062430279744
159,16.61004380967662
166,0.0
301,2.3438197471648383
333,3.0735094128764304
338,7.534105314887007
400,-4.999608196726332
401,-4.123181120430654
402,-2.4908815590878035
403,0.0
404,-1.4005088117149604
407,1.5447473371732114
408,3.147568835412499
409,0.0
410,-2.387785781292385
411,0.0
413,0.0
415,-0.16564224947818715
416,0.0
417,4.7019105934765015
418,5.951246093812938
419,0.3421392143586943
420,10.129661876440338
421,-0.03066081881055614
422,-3.8905922398729516
423,-1.3018193640647966
425,16.473819239771153
426,-3.5259377865979684
428,-7.305041585945574
429,-0.9910026108805547
430,2.030815266635561
488,-2.108325860305256
498,3.8989066996025343
501,2.4268138935258388
502,-4.622161624689762
503,0.0
504,1.8039387925226569
505,-0.8976651705574316
506,-4.219499405887877
507,14.354211380239976
509,0.0
510,-1.21084737943363
511,-1.0647078669643029
513,-3.9950010877057287
514,-6.642500345546233
516,0.0
517,10.037617817594434
518,-1.878372341885568
519,-1.2611003601840087
520,-3.5720247805471086
521,0.5681222916888372
523,1.7869035474432169
524,-2.4878857993755483
525,-1.7978254411782617
526,-3.0500677838898462
528,-0.7715795876314653
529,-1.1564808537989903
530,0.0
531,-0.3419000667662815
532,-2.134776931725969
533,0.0
534,-1.014717188682454
536,0.0
537,2.1769999362406094
538,-1.3891213525713764
539,-0.3522570480715454
540,-1.5791460158221933
541,-0.7790959400982878
543,0.13384162983926734
544,-0.1519755319150609
545,23.03764228725707
546,-0.3385598895227968
547,-2.1127558469798537
548,24.268525049240193
550,0.0
551,1.641423720058026
552,1.1799232934411068
553,-1.4589225050185055
554,-2.7622965507684363
555,3.786019657136076
557,0.0
558,0.0
559,-1.3640942095393782
560,0.0
561,4.52590167930004
563,-0.3208291407055421
564,-3.5172683423233675
565,-1.2607851290359922
566,-0.1514244042027919
567,-4.503233793903159
568,0.0
570,-3.130466531143738
571,-0.25797502030895664
572,8.61895606774495
573,0.0
576,13.927341216061775
581,0.0
582,-1.3486516350794295
584,0.0
585,1.133745544731001
586,0.0
587,-3.377086553788225
589,5.803882375484737
590,2.820996033575061
591,0.7087340742020191
592,6.027352529848512
593,1.0420693834054284
595,-5.801337588658272
596,11.415425345630467
597,-0.46808649984737
598,2.9566039251649046
599,2.3746886782030656
600,2.3090926279398
601,0.0
603,5.020454294951347
605,0.0
606,12.756567019279867
607,-6.156335473399485
608,0.0
609,0.13559904642942322
610,-2.35485739726264
611,-3.681159030320465
612,-4.0628391551729335
613,0.0
615,15.836054866275818
616,-0.7676886173791746
617,-8.45186872089702
619,-4.322842178465371
620,-2.3828317276558746
622,-3.2118568626337485
623,2.11033258263031
625,-1.3090466250593025
626,-0.17499554100900566
627,-0.5083973366839265
628,-2.7220373174058934
629,-1.736117519556572
630,-4.3219554330751935
631,0.0
632,1.7441666205424822
633,2.253929965950039
635,0.0
636,-2.7604730367956094
637,12.811241232240295
638,-4.024895096725299
639,0.43909430063128535
650,-0.5244016442258039
651,5.660411500023647
652,5.809498623759657
655,-0.4293439744836731
656,7.01226525494122
657,5.6209094117703255
659,-3.2006692930712526
661,0.0
662,-4.212577889676243
663,-0.6920145171109487
665,0.07148077335474921
666,7.614419721585348
667,1.3472735075321192
668,0.0
669,2.3477765357845013
670,0.0
671,-3.424772004198997
672,-2.303106962259536
673,0.0
676,0.6744384012317578
677,0.0
678,0.0
679,0.0
680,0.3732311620113351
681,9.890207714183589
682,0.0
683,0.0
685,0.04786231578902344
686,1.7958160061487352
687,-2.839366763306012
688,-2.0968123581502804
690,0.0
691,-2.3403795113963053
692,2.484662763617136
693,0.0
695,0.0
697,0.0
698,-2.2978284528528543
700,0.7094430203844074
701,-0.06625090802812722
702,-1.2627043854146611
703,-1.3778579875434789
705,0.6242621990167768
707,-2.6816160409583154
