date_buy,date_sell,price_buy,price_sell,income,income_total
2015-07-15,2015-07-16,12.431838170624447,12.268249780123133,-1.3158825610187468,-1.3158825610187468
2015-07-24,2015-07-27,15.158604514805045,13.642333626502493,-10.002707616137402,-10.002707616137402
2015-08-06,2015-08-12,13.333040164174724,15.467897977132804,16.011785659315294,6.009078043177898
2016-02-22,2016-02-24,12.192612137203165,11.968630900029318,-1.8370242131332617,-1.8370242131332617
2016-03-07,2016-03-09,11.416007036059804,11.02785107006743,-3.400102722136616,-5.237126935269877
2016-03-16,2016-03-24,11.630020521841102,12.635297566695984,8.643811444416428,3.4066845091465496
2016-03-30,2016-06-23,13.312225153913806,38.90618586924656,192.25907329105004,195.66575780019662
2016-07-01,2016-07-04,46.795367927294045,45.505423629434176,-2.756564068187364,192.90919373200921
2016-07-21,2016-07-25,45.67546174142481,42.07563764291997,-7.881308609169513,185.0278851228397
2016-08-17,2016-08-18,40.79595426561126,40.24596892406919,-1.3481369695663086,183.67974815327338
2016-08-26,2016-08-29,41.59571973028436,40.29580768103195,-3.1251101259488148,180.55463802732461
2016-09-12,2016-09-26,39.17590149516271,44.89533861037819,14.599375883977293,195.15401391130192
2016-10-12,2016-10-14,51.594840222808564,51.27469950161243,-0.6204898005568542,194.53352411074505
2016-11-02,2016-11-07,51.19495749047199,53.614482556435064,4.726100351608603,199.25962446235363
2016-12-08,2016-12-14,47.05511580181765,42.965406039284666,-8.691318027475784,190.56830643487785
2017-01-05,2017-01-06,43.31545001465846,42.3054822632659,-2.331657067052918,188.23664936782487
2017-01-25,2017-02-06,40.68572266197596,41.94547053649956,3.0962897844774724,191.3329391523024
2017-02-10,2017-02-14,42.31545001465845,42.0454412195837,-0.6380856046224681,190.69485354767997
2017-02-22,2017-03-03,45.62503664614483,62.59337437701553,37.190847346540096,227.88570089422004
