index_code,name
SZ399367,1000地产
SZ399368,国证军工
SZ399369,国证责任
SZ399370,国证成长
SZ399371,国证价值
SZ399372,大盘成长
SZ399373,大盘价值
SZ399374,中盘成长
SZ399375,中盘价值
SZ399376,小盘成长
SZ399377,小盘价值
SZ399378,ESG 300
SZ399379,国证基金
SZ399380,国证ETF
SZ399381,1000能源
SZ399382,1000材料
SZ399383,1000工业
SZ399384,1000可选
SZ399385,1000消费
SZ399386,1000医药
SZ399387,1000金融
SZ399388,1000信息
SZ399389,国证通信
SZ399390,1000公用
SZ399391,投资时钟
SZ399392,国证新兴
SZ399393,国证地产
SZ399394,国证医药
SZ399395,国证有色
SZ399396,国证食品
SZ399397,国证文化
SZ399398,绩效指数
SZ399399,中经GDP
SZ399400,大中盘
SZ399401,中小盘
SZ399402,周期100
SZ399403,防御100
SZ399404,大盘低波
SZ399405,大盘高贝
SZ399406,中盘低波
SZ399407,中盘高贝
SZ399408,小盘低波
SZ399409,小盘高贝
SZ399410,苏州率先
SZ399411,红利100
SZ399412,国证新能
SZ399413,国证转债
SZ399415,I100
SZ399416,I300
SZ399417,新能源车
SZ399418,国证国安
SZ399419,国证高铁
SZ399420,国证保证
SZ399422,中关村A
SZ399423,中关村50
SZ399427,专利领先
SZ399428,国证定增
SZ399429,新丝路
SZ399431,国证银行
SZ399432,智能汽车
SZ399433,国证交运
SZ399434,国证传媒
SZ399435,国证农牧
SZ399436,绿色煤炭
SZ399437,证券龙头
SZ399438,绿色电力
SZ399439,国证油气
SZ399440,国证钢铁
SZ399441,生物医药
SZ399481,企债指数
SZ399550,央视50
SZ399551,央视创新
SZ399552,央视成长
SZ399553,央视回报
SZ399554,央视治理
SZ399555,央视责任
SZ399556,央视生态
SZ399557,央视文化
SZ399602,中小成长
SZ399604,中小价值
SZ399606,创业板R
SZ399608,科技100
SZ399610,TMT50
SZ399611,中创100R
SZ399612,中创100
SZ399613,深证能源
SZ399614,深证材料
SZ399615,深证工业
SZ399616,深证可选
SZ399617,深证消费
SZ399618,深证医药
SZ399619,深证金融
SZ399620,深证信息
SZ399621,深证电信
SZ399622,深证公用
SZ399623,中小基础
SZ399624,中创400
SZ399625,中创500
SZ399626,中创成长
SZ399627,中创价值
SZ399628,700成长
SZ399629,700价值
SZ399630,1000成长
SZ399631,1000价值
SZ399632,深100EW
SZ399633,深300EW
SZ399634,中小等权
SZ399635,创业板EW
SZ399636,深证装备
SZ399637,深证地产
SZ399638,深证环保
SZ399639,深证大宗
SZ399640,创业基础
SZ399641,深证新兴
SZ399642,中小新兴
SZ399643,创业新兴
SZ399644,深证时钟
SZ399645,100低波
SZ399646,深消费50
SZ399647,深医药50
SZ399648,深证GDP
SZ399649,中小红利
SZ399650,中小治理
SZ399651,中小责任
SZ399652,中创高新
SZ399653,深证龙头
SZ399654,深证文化
SZ399655,深证绩效
SZ399656,100绩效
SZ399657,300绩效
SZ399658,中小绩效
SZ399659,深成指EW
SZ399660,中创EW
SZ399661,深证低波
SZ399662,深证高贝
SZ399663,中小低波
SZ399664,中小高贝
SZ399665,中创低波
SZ399666,中创高贝
SZ399667,创业板G
SZ399668,创业板V
SZ399669,深证农业
SZ399670,深周期50
SZ399671,深防御50
SZ399672,深红利50
SZ399673,创业板50
SZ399674,深A医药
SZ399675,深互联网
SZ399676,深医药EW
SZ399677,深互联EW
SZ399678,深次新股
SZ399679,深证200R
SZ399680,深成能源
SZ399681,深成材料
SZ399682,深成工业
SZ399683,深成可选
SZ399684,深成消费
SZ399685,深成医药
SZ399686,深成金融
SZ399687,深成信息
SZ399688,深成电信
SZ399689,深成公用
SZ399690,中小专利
SZ399691,创业专利
SZ399692,创业低波
SZ399693,安防产业
SZ399694,创业高贝
SZ399695,深证节能
SZ399696,深证创投
SZ399697,中关村60
SZ399698,优势成长
SZ399699,金融科技
SZ399701,深证F60
SZ399702,深证F120
SZ399703,深证F200
SZ399704,深证上游
SZ399705,深证中游
SZ399706,深证下游
SZ399707,CSSW证券
SZ399802,500深市
SZ399803,工业4.0
SZ399804,中证体育
SZ399805,互联金融
SZ399806,环境治理
SZ399807,高铁产业
SZ399808,中证新能
SZ399809,保险主题
SZ399810,CSSW传媒
SZ399811,CSSW电子
SZ399812,养老产业
SZ399813,中证国安
SZ399814,大农业
SZ399901,小康指数
SZ399903,中证100
SZ399905,中证 500
SZ399913,300 医药
SZ399914,300 金融
SZ399928,中证能源
SZ399932,中证消费
SZ399933,中证医药
SZ399934,中证金融
SZ399935,中证信息
SZ399959,军工指数
SZ399965,800地产
SZ399966,800非银
SZ399967,中证军工
SZ399970,移动互联
SZ399971,中证传媒
SZ399972,300深市
SZ399973,中证国防
SZ399974,国企改革
SZ399975,证券公司
SZ399976,CS新能车
SZ399982,500等权
SZ399983,地产等权
SZ399986,中证银行
SZ399987,中证酒
SZ399989,中证医疗
SZ399990,煤炭等权
SZ399991,一带一路
SZ399992,CSWD并购
SZ399993,CSWD生科
SZ399994,信息安全
SZ399995,基建工程
SZ399996,智能家居
SZ399997,中证白酒
SZ399998,中证煤炭
SZ3C0002,领先指标
SZ3C0003,创业成交
SZ980001,湾创100
SZ980017,国证芯片
SZ980023,南山50
SZ980068,蓝色100
SZ988006,创业板指(港币)(CNH)
SZ988007,创业板指(美元)(CNH)
SZ988106,创业板R(港币)(CNH)
SZ988107,创业板R(美元)(CNH)
SZ988201,湾创100R
