code,name,.,涨幅,现价,涨跌,买价,卖价,总手,总金额,现手,1分钟涨速,涨速,实体涨幅,现均差%,换手,委比%,总市值,流通市值,流通比例,内盘,外盘,内外比,备注,利空,利好,主力净量,量比,TTM市盈率,净利润?,市净率,每股盈利,细分行业,所属行业,昨收,开盘,开盘涨幅,最高,最低,5日涨幅,10日涨幅,20日涨幅,年初至今,振幅,买量,卖量,笔数,贡献度,机构动向,异动类型,总股本,流通股本,利润总额,净利润增长率,每股净资产,金叉个数,散户数量,自选时间,自选价格,自选收益
SZ301336,趣睡科技,--,15.80%,60.01,8.19,60.01,60.08,5190727,309465680,500↑,-0.51%,-0.51%,11.54%,0.75,51.91%,37.89,2400400000,600100000,25.00%,2984551,2206176,1.35,--,无,无,6.22,5.94,39.75,24905893,3.11,0.83,家具,家用轻工,51.82,53.8,3.82%,62.18,53.8,9.19%,4.77%,-7.52%,59.90%,16.17%,300,100,14604,--,17.98,--,40000000,10000000,32068359亿,-24.46%,19.31,0,924.12,--,--,--
SZ301319,N唯特偶,--,14.87%,54.85,7.1,54.85,54.86,8740887,496938400,54↑,0.00%,0.00%,9.70%,-4.19,62.87%,74.99,3216404000,762573240,23.71%,4861315,3879572,1.25,--,无,有,15.15,--,38.17,66845000,3.13,0.664,电子化学品,电子化学品,47.75,50,4.71%,65,50,14.87%,14.87%,14.87%,14.87%,31.41%,15214,1000,47950,--,100,--,58640000,13902885,44009637亿,5.26%,17.55,0,-4182.66,--,--,--
SZ300206,理邦仪器,--,13.40%,12.69,1.5,12.68,12.69,24393609,296318190,300↓,-0.16%,-0.16%,11.71%,4.85,7.17%,-79.01,7382050200,4320159000,58.52%,9119876,15273733,0.597,--,无,无,0.31,2.99,37.5,150429230,4.2,0.259,医疗设备,医疗器械,11.19,11.36,1.52%,12.88,11.2,19.27%,9.30%,5.57%,-8.53%,15.01%,18100,11164,40638,--,8.63,--,581721850,340438070,160901700亿,-18.70%,3.03,5,-35.26,--,--,--
SH688212,澳华内镜,--,12.21%,67.1,7.3,67.06,67.1,2067958,135477030,24818↑,0.15%,0.15%,10.96%,2.65,7.20%,25.24,8947114000,1927037000,21.54%,977143,1090815,0.896,--,无,无,-0.37,2.44,169,5067377,7.24,0.04,医疗设备,医疗器械,59.8,60.47,1.12%,68.56,59.2,16.59%,22.56%,35.42%,78.55%,15.65%,600,1638,6118,--,-10.92,--,133340000,28718882,2537593亿,-44.71%,9.26,1,58.85,--,--,--
SH688617,惠泰医疗,--,10.68%,216.93,20.94,216.93,216.96,1440631,303299080,4361↑,0.20%,0.20%,10.66%,3.26,3.25%,21.17,14462723000,9613845400,66.47%,671101,769530,0.872,--,无,无,-0.04,2.82,57.41,158872590,7.68,2.38,医疗耗材,医疗器械,195.99,196.03,0.02%,219,194.22,17.08%,8.60%,15.97%,-22.25%,12.64%,117,500,6666,0.09,-2.06,--,66670000,44317731,175840510亿,38.33%,28.25,4,312.1,--,--,--
SH688358,祥生医疗,--,10.40%,38.76,3.65,38.75,38.76,3580963,136742080,57305↑,0.34%,0.34%,8.30%,1.64,12.79%,20.36,4341120000,1085280000,25.00%,1606654,1974309,0.814,--,无,无,-0.75,3.06,30.78,75735929,3.38,0.676,医疗设备,医疗器械,35.11,35.79,1.94%,39.74,35.09,10.84%,15.39%,15.70%,20.37%,13.24%,700,446,8709,0.03,-15.77,--,112000000,28000000,88418396亿,60.52%,11.47,6,-14.68,--,--,--
SZ300653,正海生物,--,10.18%,53.14,4.91,53.13,53.14,8013547,422516870,34400↑,-0.04%,-0.04%,8.72%,0.86,4.45%,-77.82,9565200000,9565200000,100.00%,3371130,4642417,0.726,--,无,无,-0.74,3.77,49.94,104084191,12.19,0.58,医疗耗材,医疗器械,48.23,48.88,1.35%,54.88,48.54,9.77%,5.39%,7.70%,20.97%,13.15%,300,4400,22578,--,-22.63,--,180000000,180000000,121006921亿,28.36%,4.36,4,-29.58,--,--,--
SH600167,联美控股,--,10.08%,6.99,0.64,6.99,--,13452365,93774464,42148↑,0.00%,0.00%,2.79%,0.3,0.59%,100,15993955000,15993955000,100.00%,9708248,3744117,2.59,--,无,无,0.25,4.71,16.37,601532010,1.56,0.266,热力,电力,6.35,6.8,7.09%,6.99,6.75,5.91%,4.33%,-2.92%,-21.28%,3.78%,1938743,0,6907,0.09,54.63,--,2288119500,2288119500,786048910亿,-10.35%,4.47,9,-11.07,--,--,--
SZ002795,永和智控,--,10.06%,8.53,0.78,8.53,--,22623047,186270680,78340↑,0.00%,0.00%,12.09%,3.82,9.36%,100,2634507300,2062784100,78.30%,17165826,5457221,3.15,--,无,无,1.3,5.23,106.8,31499025,3.01,0.11,金属制品,通用设备,7.75,7.61,-1.81%,8.53,7.4,12.38%,6.36%,6.36%,-1.63%,14.58%,7495893,0,13145,--,16.23,--,308851970,241826970,38300953亿,23.44%,2.84,5,-120.99,--,--,--
SZ000677,恒天海龙,--,10.06%,3.61,0.33,3.61,--,49437334,171938440,238750↑,0.00%,0.00%,9.06%,4.03,5.72%,100,3118960400,3118960400,100.00%,22655273,26782061,0.846,--,有,有,1.46,3.15,40.78,30301518,7.89,0.035,涤纶,化工合成材料,3.28,3.31,0.91%,3.61,3.3,22.79%,17.21%,17.59%,10.06%,9.45%,25572377,0,12564,--,30.46,--,863977950,863977950,82520543亿,-4.16%,0.46,3,-59.21,--,--,--
SZ002084,海鸥住工,--,10.05%,6.13,0.56,6.13,--,195155660,1142331570,119780↑,0.00%,0.00%,4.25%,4.97,29.54%,100,4071313600,4050174600,99.48%,97529410,97626250,0.999,--,无,有,-1.73,5,87.43,43377740,2.19,0.065,其他家用轻工,家用轻工,5.57,5.88,5.57%,6.13,5.39,43.56%,48.07%,48.79%,22.60%,13.29%,12690535,0,86635,--,-7.62,--,664162100,660713640,39374683亿,-47.37%,2.79,0,463.67,--,--,--
SH603730,岱美股份,--,10.04%,14.69,1.34,14.69,--,8709128,126462130,41650↑,0.00%,0.00%,8.90%,1.27,0.92%,100,13834163000,13834163000,100.00%,5466065,3243063,1.69,--,无,无,0.1,4.29,32.57,310130000,3.52,0.33,汽车零部件,汽车零部件,13.35,13.49,1.05%,14.69,13.49,10.12%,6.22%,7.62%,-16.32%,8.99%,558872,0,10513,0.08,13.57,--,941740160,941740160,372406050亿,2.87%,4.17,6,-7.04,--,--,--
SZ003005,竞业达,--,10.02%,19.55,1.78,19.55,--,4659438,89673088,19300↑,0.00%,0.00%,7.24%,1.71,9.13%,100,2901220000,997906090,34.40%,2216138,2443300,0.907,--,有,无,2.58,3.94,42.64,31314824,1.94,0.211,IT服务,计算机应用,17.77,18.23,2.59%,19.55,18.2,18.85%,17.28%,16.09%,-10.88%,7.60%,1588380,0,4048,--,28.96,--,148400000,51043790,38811944亿,-64.27%,10.06,3,-180.4,--,--,--
SH603109,神驰机电,--,10.01%,18.25,1.66,18.25,--,7083161,123959337,12600↑,0.00%,0.00%,9.68%,4.52,10.57%,100,3824863100,1222440770,31.96%,3596741,3486420,1.03,--,无,无,3.11,1.36,19.93,82304459,2.51,0.393,汽车零部件,汽车零部件,16.59,16.64,0.30%,18.25,16.53,-0.82%,-2.25%,-4.15%,-9.11%,10.37%,1456839,0,14877,0.02,57.88,--,209581540,66983056,97481709亿,-2.53%,7.28,7,-177.7,--,--,--
SZ002897,意华股份,--,10.00%,63.8,5.8,63.8,--,6396715,385157860,13100↑,0.00%,0.00%,9.38%,6.19,4.04%,100,10888873600,10110500800,92.85%,3178129,3218586,0.987,--,无,无,0.25,1.88,43.88,179493530,6.8,1.05,通信网络设备及器件,通信设备,58,58.33,0.57%,63.8,57.28,9.68%,7.95%,-0.50%,12.90%,11.24%,410200,0,26154,--,14.82,--,170672000,158471800,202171490亿,168.10%,9.39,1,15.43,--,--,--
SZ002723,小崧股份,--,10.00%,11.99,1.09,11.99,--,19169579,217826100,50600↑,0.00%,0.00%,11.02%,5.75,6.22%,100,3813171000,3697909800,96.98%,8775340,10394239,0.844,--,有,无,1.06,1.8,243.7,3898578,3.08,0.012,LED,光学光电子,10.9,10.8,-0.92%,11.99,10.62,-3.31%,-8.75%,-4.23%,-18.77%,12.57%,3286780,0,15457,--,33.48,--,318029280,308416170,6764075亿,-37.54%,3.9,5,-80.42,--,--,--
SZ000948,南天信息,--,10.00%,15.62,1.42,15.62,--,37735368,579851750,141500↑,0.00%,0.00%,8.17%,1.79,11.28%,100,6160304100,5224979600,84.82%,21285062,16450306,1.29,--,无,无,4.71,0.71,67.52,14760097,2.63,0.038,软件开发,计算机应用,14.2,14.44,1.69%,15.62,14.28,-2.13%,9.92%,25.97%,9.92%,9.44%,4618488,0,27184,--,46.66,--,394385670,334505740,25011519亿,41.13%,5.95,3,-373.49,--,--,--
SZ000593,德龙汇能,--,10.00%,10.78,0.98,10.78,--,91390979,944472020,103600↑,0.00%,0.00%,12.53%,4.55,25.50%,100,3866042300,3864159100,99.95%,43999590,47391389,0.928,--,有,无,1.6,1.42,74.52,18524865,3.61,0.052,燃气,燃气,9.8,9.58,-2.24%,10.78,9.38,18.98%,30.04%,11.02%,68.17%,14.29%,4626000,0,87015,--,12.82,--,358631010,358456320,28405094亿,8.11%,2.99,3,117.2,--,--,--
SH603057,紫燕食品,--,10.00%,29.04,2.64,29.04,--,3521259,102257361,479031↑,0.00%,0.00%,0.00%,0,8.38%,100,11964480000,1219680000,10.19%,3521259,0,--,--,无,无,5.59,3.23,42.2,230000000,6.27,0.281,休闲食品,食品加工制造,26.4,29.04,10.00%,29.04,29.04,91.68%,91.68%,91.68%,91.68%,0.00%,14324541,0,4030,--,49.98,--,412000000,42000000,149561830亿,-27.57%,4.63,0,83.22,--,--,--
SH600721,百花医药,--,10.00%,6.49,0.59,6.49,--,31700884,198756580,568600↑,0.00%,0.00%,10.56%,3.73,8.45%,100,2434622000,2434622000,100.00%,16635635,15065249,1.1,--,无,无,0.22,6.02,120.7,10294461,3.52,0.027,医疗研发外包,医疗服务,5.9,5.87,-0.51%,6.49,5.69,11.32%,6.22%,3.02%,-13.35%,13.56%,226300,0,22630,0.01,4.87,--,375134360,375134360,11655833亿,-79.39%,1.84,4,22.41,--,--,--
SH600605,汇通能源,--,10.00%,13.42,1.22,13.42,--,950800,12759736,900↑,0.00%,0.00%,0.00%,0,0.46%,100,2768310200,2768310200,100.00%,950800,0,--,--,有,无,0.23,0.83,62.15,11510707,2.48,0.056,商业物业经营,零售,12.2,13.42,10.00%,13.42,13.42,45.71%,36.38%,42.77%,43.50%,0.00%,11368200,0,558,0.02,33.83,--,206282430,206282430,14373070亿,-57.73%,5.4,0,49.56,--,--,--
SZ002901,大博医疗,--,9.99%,36.54,3.32,36.54,--,6401651,229533590,14500↑,0.00%,0.00%,9.99%,2.06,1.83%,100,15242289000,12810204100,84.04%,3414015,2987636,1.14,--,无,无,0.29,2.73,28.43,179894580,5.07,0.437,医疗耗材,医疗器械,33.22,33.22,0.00%,36.54,33.06,29.99%,21.07%,9.99%,-27.10%,10.48%,1586921,0,12360,0.46,20.66,--,417139820,350580300,216771460亿,-43.28%,7.21,4,-36.93,--,--,--
SZ002197,证通电子,--,9.99%,10.13,0.92,10.13,--,135697230,1360715800,251800↑,0.00%,0.00%,8.46%,1.11,25.40%,100,6223496500,5412211400,86.96%,87625043,48072187,1.82,--,无,无,6.76,2.05,157,18632458,2.03,0.03,计算机设备,计算机设备,9.21,9.34,1.41%,10.13,9.26,2.01%,15.64%,17.52%,15.51%,9.45%,3432901,0,86072,--,39.99,--,614362930,534275560,18412314亿,10.56%,5,7,-410.16,--,--,--
SZ003023,彩虹集团,--,9.99%,31.94,2.9,31.94,--,27773091,852159020,30200↑,0.00%,0.00%,6.82%,4.33,54.05%,100,3364610700,1641311500,48.78%,15369169,12403922,1.24,--,有,无,-1.99,1.52,37.73,61540664,2.44,0.58,小家电,小家电,29.04,29.9,2.96%,31.94,28.45,33.98%,63.38%,77.05%,56.51%,12.02%,252224,0,56262,--,-7.11,--,105341600,51387337,71001134亿,-26.05%,13.07,0,902.99,--,--,--
SZ002641,公元股份,--,9.97%,7.17,0.65,7.17,--,217703550,1526791700,3389470↑,0.00%,0.00%,0.00%,2.41,19.19%,100,8856053200,8133474800,91.84%,156609398,61094152,2.56,--,无,无,-0.64,16.6,22.84,63256763,1.75,0.05,管材,建筑材料,6.52,7.17,9.97%,7.17,6.23,61.12%,52.88%,50.00%,32.58%,14.42%,19127725,0,90442,--,-3.29,--,1235153870,1134375850,60640871亿,-74.94%,4.09,0,437.13,--,--,--
SH688607,康众医疗,--,9.97%,23.83,2.16,23.83,23.85,1728911,40268450,10088↑,0.00%,0.00%,5.21%,2.49,2.64%,81.1,2100114700,1558658700,74.22%,664224,1064687,0.624,--,无,无,0,2.81,58.66,-2772198,2.49,-0.03,医疗设备,医疗器械,21.67,22.65,4.52%,24.48,21.59,8.96%,3.70%,-16.24%,-36.79%,13.34%,18454,600,4680,0.01,1.25,--,88129027,65407415,-4431158亿,-106.00%,9.57,1,0,--,--,--
SZ002716,金贵银业,--,9.96%,2.87,0.26,2.87,--,108388996,307834400,567000↑,0.00%,0.00%,5.51%,1.15,5.14%,100,6344075000,6046335300,95.31%,70947024,37441972,1.89,--,无,无,0.87,1.64,465.5,-30253457,3.21,-0.014,贵金属,贵金属,2.61,2.72,4.21%,2.87,2.71,0.00%,-2.71%,10.38%,-10.59%,6.13%,1133600,0,24793,--,18.36,--,2210479100,2106737100,-30253457亿,-4.51%,0.9,4,-4.15,--,--,--
SZ000697,炼石航空,--,9.94%,7.63,0.69,7.63,--,18674823,140517860,33800↑,0.00%,0.00%,8.84%,1.52,3.24%,100,5124430500,4401661000,85.90%,12585481,6089342,2.07,--,无,无,0.89,2.29,,-184371150,23.7,-0.275,航空装备,国防军工,6.94,7.01,1.01%,7.63,7,-1.29%,-3.42%,7.16%,-11.48%,9.08%,3508377,0,12836,--,32.99,--,671616060,576888730,-185815620亿,-47.62%,0.32,9,-100.88,--,--,--
SZ000521,长虹美菱,--,9.93%,4.76,0.43,4.76,--,189722350,858393370,724090↑,0.00%,0.00%,8.68%,5.44,21.66%,100,4902436900,4168849900,85.04%,102620727,87101623,1.18,--,无,无,2.64,3.83,65.26,60375199,1.01,0.058,冰洗,白色家电,4.33,4.38,1.15%,4.76,4.17,19.60%,20.51%,18.41%,31.49%,13.63%,4196404,0,76026,--,17.82,--,1029923720,875808810,62579328亿,62.48%,4.7,1,-170.96,--,--,--
SZ000407,胜利股份,--,9.93%,4.43,0.4,4.43,--,72865391,317845220,232100↑,0.00%,0.00%,12.44%,1.69,8.32%,100,3898775000,3879649600,99.51%,52034281,20831110,2.5,--,无,无,2.31,2.81,165.6,90260940,1.46,0.103,燃气,燃气,4.03,3.94,-2.23%,4.43,3.94,3.75%,7.00%,9.38%,0.57%,12.16%,7606000,0,24181,--,32.18,--,880084660,875767410,149963630亿,-48.93%,3.04,8,-154.84,--,--,--
SZ301234,五洲医疗,--,9.37%,32.1,2.75,32.1,32.11,4413579,143170850,100↓,-0.03%,-0.03%,8.85%,-1.15,25.96%,25.07,2182800000,545700000,25.00%,2158799,2254780,0.957,--,无,无,1.25,4.95,30.35,31474140,3.19,0.617,医疗耗材,医疗器械,29.35,29.49,0.48%,34.15,29.49,6.29%,-1.50%,-0.16%,22.38%,15.88%,9730,800,11736,--,14.42,--,68000000,17000000,36864806亿,12.63%,10.06,9,-398.19,--,--,--
SZ002335,科华数据,--,9.09%,45.71,3.81,45.71,45.72,28431247,1263945440,150500↑,0.00%,0.00%,7.81%,2.99,7.15%,-55.31,21098245000,18179280000,86.16%,12240775,16190472,0.756,--,无,无,0.95,1.27,50.33,166087820,5.78,0.36,其他电源设备,电力设备,41.9,42.4,1.19%,46.09,42.4,13.96%,28.58%,31.46%,26.03%,8.81%,7100,3400,54947,--,17.17,--,461567390,397709050,194544100亿,-10.52%,7.91,1,-33.83,--,--,--
SZ301122,采纳股份,--,9.09%,65.42,5.45,65.41,65.42,1599231,103977437,21300↑,0.00%,0.00%,6.90%,0.67,6.80%,35.44,6151777700,1537945700,25.00%,862063,737168,1.17,--,无,无,0.67,1.74,36.39,99667591,3.67,1.11,医疗耗材,医疗器械,59.97,61.2,2.05%,67.5,60.41,7.32%,0.46%,-11.98%,30.94%,11.82%,700,113,8351,--,48.27,--,94035122,23508800,116172432亿,62.64%,17.8,0,-228.09,--,--,--
SZ300358,楚天科技,--,9.02%,15.95,1.32,15.95,15.96,15864125,251414200,89300↑,0.00%,0.00%,6.33%,0.7,3.07%,-1.89,9172095100,8243751200,89.88%,6645553,9218572,0.721,--,有,有,-0.02,3.13,14.57,299446050,2.39,0.521,医疗设备,医疗器械,14.63,15,2.53%,16.33,14.84,9.70%,5.56%,-3.68%,-38.54%,10.18%,19200,6000,30493,--,-1.27,--,575052980,516849610,331804500亿,26.74%,6.68,1,-11.07,--,--,--
SZ002829,星网宇达,--,9.02%,35.18,2.91,35.17,35.18,6055570,213008170,23300↑,0.26%,0.26%,1.44%,0.01,5.90%,6.63,5499021000,3611501900,65.68%,3388166,2667404,1.27,--,无,有,0.62,5.23,33.76,107500000,5.01,0.219,航天装备,国防军工,32.27,34.68,7.47%,35.5,34.12,2.06%,3.47%,0.31%,-10.44%,4.28%,300,7130,11896,--,12.86,--,156311000,102657815,31790928亿,5.64%,7.03,7,-44.63,--,--,--
SH688261,东微半导,--,8.85%,261.9,21.3,261.81,261.9,750597,192238090,6477↑,0.03%,0.03%,7.20%,2.4,5.04%,-4.16,17645871000,3899093300,22.10%,355058,395539,0.898,--,无,无,-0.42,1.51,83.28,116779439,6.62,1.81,分立器件,半导体及元件,240.6,244.3,1.54%,262,242.71,7.16%,-4.02%,-0.87%,101.97%,8.02%,405,194,3146,--,-11.32,--,67376367,14887718,135162760亿,125.40%,39.58,2,-96.15,--,--,--
SZ300705,九典制药,--,8.72%,20.2,1.62,20.19,20.2,8910539,177524230,88640↑,-0.05%,-0.05%,7.16%,1.49,4.45%,-52.76,6636969500,4040952800,60.89%,3222433,5688106,0.567,--,无,有,0,2.83,30,129767179,5.99,0.39,化学制剂,化学制药,18.58,18.85,1.45%,20.4,18.7,12.47%,13.48%,6.43%,-18.92%,9.15%,13080,9480,16966,--,-0.01,--,328562850,200047170,146296410亿,15.02%,3.37,3,31.5,--,--,--
SH688351,微电生理-U,--,8.35%,13.89,1.07,13.88,13.89,8846580,121877593,83162↑,0.07%,0.07%,7.01%,0.88,14.16%,-11.64,6536634000,867696790,13.27%,3616165,5230415,0.691,--,无,有,0.71,1.76,,-2000000,3.92,0.003,医疗耗材,医疗器械,12.82,12.98,1.25%,14.2,12.8,6.19%,-1.84%,5.63%,-15.87%,10.92%,12369,13794,15322,--,18.35,--,470600000,62469171,1490597亿,140.60%,3.55,4,-110.91,--,--,--
SH688029,南微医学,--,8.29%,74.36,5.69,74.36,74.45,4237358,312566550,15054↑,-0.12%,-0.12%,9.08%,0.87,2.31%,84.81,13923621000,13659717000,98.10%,2132882,2104476,1.01,--,无,无,0.22,2.61,45.46,124850436,4.64,0.667,医疗耗材,医疗器械,68.67,68.17,-0.73%,76.22,67.33,10.49%,-0.05%,-3.37%,-50.88%,12.95%,20457,868,14556,0.07,19.79,--,187246110,183697110,152913170亿,-12.87%,16.02,3,-91.91,--,--,--
SH605186,健麾信息,--,8.28%,34.65,2.65,34.65,34.72,5784802,200920110,16400↑,1.32%,1.32%,6.19%,-0.26,8.68%,-74.49,4712400000,2308791100,48.99%,3483022,2301780,1.51,--,无,无,-0.68,5.32,39.2,54360227,4.93,0.4,其他自动化设备,自动化设备,32,32.63,1.97%,35.2,32.63,12.50%,5.64%,2.18%,-4.20%,8.03%,9000,74300,10463,0.02,-8.4,--,136000000,66631778,63100581亿,5.02%,7.03,6,348.5,--,--,--
SH603100,川仪股份,--,8.23%,28.15,2.14,28.15,28.18,8736337,241780700,49900↑,0.86%,0.86%,7.65%,1.83,2.21%,-28.68,11119250000,11119250000,100.00%,4181940,4554397,0.918,--,无,无,0.11,1.02,23.02,253879360,3.48,0.64,仪器仪表,仪器仪表,26.01,26.15,0.54%,28.6,26.1,8.77%,25.17%,46.16%,36.92%,9.61%,7300,600,18678,0.05,11.1,--,395000000,395000000,285042700亿,-17.98%,8.08,2,-40.26,--,--,--
SH601965,中国汽研,--,8.00%,19.85,1.47,19.85,19.86,12751507,249645080,178104↑,0.00%,0.00%,6.95%,1.48,1.31%,-66.47,19946229000,19388410000,97.20%,4374630,8376877,0.522,--,无,无,0.01,2.04,27.37,299208970,3.55,0.298,汽车服务,汽车服务,18.38,18.56,0.98%,20.03,18.56,7.88%,12.72%,26.03%,8.41%,8.00%,3296,16300,23847,0.09,1.15,--,1004847790,976746110,375283080亿,14.10%,5.6,6,7.12,--,--,--
SH600985,淮北矿业,--,7.97%,15.98,1.18,15.98,15.99,38758882,608940230,548700↑,-0.06%,-0.06%,5.90%,1.82,1.56%,-69.75,39646954000,39646954000,100.00%,15559515,23199367,0.671,--,无,有,-0.01,2.11,6.82,3562436600,1.34,1.44,煤炭开采,煤炭开采加工,14.8,15.09,1.96%,16.05,15,2.63%,3.10%,8.05%,52.48%,7.09%,51086,58300,55104,0.18,-1.53,--,2481035900,2481035900,4444986100亿,40.84%,11.96,9,8.22,--,--,--
SH600971,恒源煤电,--,7.89%,8.07,0.59,8.06,8.07,66135250,534183260,437660↑,-0.37%,-0.37%,6.18%,-0.1,5.51%,-65.99,9684039400,9684039400,100.00%,32715328,33419922,0.979,--,无,无,0.6,3.09,5.46,879931830,0.939,0.733,煤炭开采,煤炭开采加工,7.48,7.6,1.60%,8.23,7.6,0.37%,2.80%,2.80%,35.40%,8.42%,11100,19743,59346,0.04,17.98,--,1200004880,1200004880,1047789690亿,78.17%,8.6,9,-36.22,--,--,--
SZ000546,金圆股份,--,7.88%,15.47,1.13,15.47,15.48,37091280,571849660,317700↑,-0.26%,-0.26%,4.10%,0.37,5.21%,0.85,12078697000,11006446600,91.12%,19370942,17720338,1.09,--,无,有,1.06,2.17,,24287844,2.35,0.031,水泥,建筑材料,14.34,14.86,3.63%,15.77,14.75,-7.75%,-7.75%,-10.84%,15.36%,7.11%,75000,1800,43447,--,33.51,--,780781960,711470370,12965443亿,-87.88%,6.57,7,-40.8,--,--,--
SZ000411,英特集团,--,7.73%,10.45,0.75,10.45,10.46,12093902,126478416,254900↑,0.10%,0.10%,6.20%,-0.08,4.05%,45.74,3203117200,3122059300,97.47%,7631792,4462110,1.71,--,无,无,0.91,3.83,16.92,114753204,1.73,0.37,医药商业,医药商业,9.7,9.84,1.44%,10.67,9.84,3.26%,-3.24%,0.77%,-13.28%,8.56%,16600,4120,15424,--,52.24,--,306518400,298761660,335634270亿,23.01%,6.05,4,-76.11,--,--,--
SH688133,泰坦科技,--,7.36%,136.92,9.39,136.92,137.46,1075730,145806460,892↑,0.03%,0.03%,6.55%,1.08,2.32%,49.95,11511091100,6353549800,55.20%,441193,634537,0.695,--,无,无,-0.21,1.57,82.94,40534660,4.38,0.482,其他化学制品,化学制品,127.53,128.5,0.76%,139.11,127.7,13.18%,-7.91%,-9.74%,-37.19%,8.95%,8,200,4678,0.05,-18.24,--,84071656,46403373,46527233亿,-11.30%,31.27,1,133.8,--,--,--
SZ002947,恒铭达,--,7.20%,19.95,1.34,19.95,19.97,16225260,325599720,84100↑,0.35%,0.35%,-2.06%,-0.63,10.62%,48.05,4566436600,3048584100,66.76%,9948157,6277103,1.58,--,无,无,1.82,4.07,57.66,81331120,2.63,0.36,消费电子零部件及组装,消费电子,18.61,20.37,9.46%,20.47,19.06,7.09%,10.47%,2.84%,-29.33%,7.58%,300,200,28926,--,24.9,--,228894070,152811230,95407628亿,143.50%,7.59,3,-110.12,--,--,--
SH688357,建龙微纳,--,7.19%,86.72,5.82,86.72,86.76,1225840,105577206,7675↑,0.02%,0.02%,6.13%,0.73,3.64%,-48.44,5136328900,2917594300,56.80%,477691,748149,0.639,--,无,无,0.42,2.65,20.12,81664092,3.63,1.39,其他化学制品,化学制品,80.9,81.71,1.00%,87.99,80.18,1.83%,-0.88%,-1.12%,-54.46%,9.65%,342,400,3984,0.02,18.3,--,59228885,33643846,93350164亿,-19.81%,23.88,3,-100.6,--,--,--
SH603301,振德医疗,--,7.07%,44.2,2.92,44.2,44.21,4720942,208448840,17800↑,0.02%,0.02%,6.53%,0.11,2.08%,79.37,11777143100,10042449300,85.27%,1830932,2890010,0.634,--,无,无,0.14,3.53,24.07,271574150,2.28,1.02,医疗耗材,医疗器械,41.28,41.49,0.51%,45.41,41,12.18%,4.37%,6.00%,-12.94%,10.68%,40300,800,18253,0.05,20.02,--,266451200,227204740,308514140亿,-28.19%,19.38,2,-7.97,--,--,--
SZ300910,瑞丰新材,--,6.99%,111.77,7.3,111.56,111.77,2161015,235117010,17400↑,-0.17%,-0.17%,6.65%,2.84,2.37%,-53.85,16765500000,10182356900,60.73%,914687,1246328,0.734,--,有,无,-0.16,1.29,68.95,146128470,7.51,0.97,其他化学制品,化学制品,104.47,104.8,0.32%,113.9,101.65,7.04%,12.11%,23.23%,41.39%,11.73%,100,3236,10939,--,-14.9,--,150000000,91100983,172949270亿,40.47%,14.89,5,121.44,--,--,--
SZ001266,宏英智能,--,6.93%,30.24,1.96,30.24,30.25,8243981,253824610,55380↑,0.30%,0.30%,6.11%,-1.94,32.07%,57.16,3109155800,777288960,25.00%,5422450,2821531,1.92,--,无,无,7.05,4.15,46.55,29332100,3.14,0.285,工控设备,自动化设备,28.28,28.5,0.78%,31.11,28.5,4.02%,8.58%,7.27%,11.38%,9.23%,19620,300,11483,--,23.92,--,102816000,25704000,31713794亿,-68.39%,9.62,8,-1480.32,--,--,--
SH688217,睿昂基因,--,6.93%,39.96,2.59,39.85,39.96,755596,30222856,10311↑,0.28%,0.28%,4.01%,-0.1,2.07%,3.94,2220859300,1459763900,65.73%,322837,432759,0.746,--,无,无,0.08,1.61,50.84,21282799,2.42,0.38,体外诊断,医疗器械,37.37,38.42,2.81%,40.78,38,2.86%,-0.75%,-9.41%,-45.05%,7.44%,565,2688,2356,0.01,20.52,--,55577060,36530628,29982180亿,-14.63%,16.49,2,-35.12,--,--,--
SH688052,纳芯微,--,6.82%,322.49,20.58,322.19,322.49,895901,284089560,3532↑,-0.16%,-0.16%,6.64%,1.79,4.15%,-39.92,32592129000,6958902100,21.35%,434042,461859,0.94,--,无,有,0.67,1.81,99.16,195026540,5.21,2.32,集成电路设计,半导体及元件,301.91,302.41,0.17%,328,294,5.18%,0.15%,-1.80%,40.70%,11.26%,20,101,4272,--,25.1,--,101064000,21578660,218458590亿,116.50%,61.92,3,-388.74,--,--,--
SZ002631,德尔未来,--,6.80%,5.81,0.37,5.8,5.81,25902139,151291540,378400↑,-0.17%,-0.17%,5.64%,-0.57,3.96%,-68.17,3826672800,3805051400,99.44%,17859958,8042181,2.22,--,无,无,0.86,7.83,87.64,2251344,2.22,0.003,家具,家用轻工,5.44,5.5,1.10%,5.98,5.42,5.83%,0.52%,-7.78%,-20.63%,10.29%,13100,138609,21578,--,35.94,--,658635590,654914190,-3735653亿,-93.52%,2.61,1,-40.32,--,--,--
SH603610,麒盛科技,--,6.75%,15.33,0.97,15.32,15.33,21624605,319308590,322800↑,-0.13%,-0.13%,7.65%,3.93,10.39%,-79.74,5495640200,3191825100,58.08%,10115534,11509071,0.879,--,无,有,0.21,1.9,17.18,97619628,1.72,0.27,家具,家用轻工,14.36,14.24,-0.84%,15.45,14.24,14.40%,9.50%,23.63%,-22.93%,8.43%,8300,30220,24851,0.02,8.54,--,358489250,208207770,122736843亿,-27.60%,8.92,2,29.26,--,--,--
