code,name,.,涨幅,现价,涨跌,买价,卖价,总手,总金额,现手,1分钟涨速,涨速,实体涨幅,现均差%,换手,委比%,总市值,流通市值,流通比例,内盘,外盘,内外比,备注,利空,利好,主力净量,量比,TTM市盈率,净利润?,市净率,每股盈利,细分行业,所属行业,昨收,开盘,开盘涨幅,最高,最低,5日涨幅,10日涨幅,20日涨幅,年初至今,振幅,买量,卖量,笔数,贡献度,机构动向,异动类型,总股本,流通股本,利润总额,净利润增长率,每股净资产,金叉个数,散户数量,自选时间,自选价格,自选收益
SZ002051,中工国际,--,0.13%,7.67,0.01,7.66,7.67,8277027,64058481,176800--,-0.13%,-0.13%,-0.65%,-0.9,0.74%,29.39,9490926500,8531760600,89.89%,4097045,4179982,0.98,--,有,无,0.07,0.78,25.91,248718760,0.875,0.201,专业工程,建筑装饰,7.66,7.72,0.78%,7.83,7.64,-5.54%,-11.53%,-4.24%,8.79%,2.48%,61300,40400,14379,--,80.51,--,1237408940,1112354700,320211970亿,50.92%,8.77,5,-7.24,--,--,--
SZ301041,金百泽,--,0.13%,15.38,0.02,15.38,15.39,1285367,19906547,19000--,0.00%,0.00%,-1.22%,-0.7,2.51%,48.01,1640738400,787437050,47.99%,658647,626720,1.05,--,无,无,-0.24,0.91,45.26,15718493,2.63,0.15,印制电路板,半导体及元件,15.36,15.57,1.37%,15.68,15.3,-6.56%,-9.48%,-15.63%,-48.21%,2.47%,4300,600,3660,--,-77.97,--,106680000,51198768,15494529亿,-49.08%,5.84,5,27.44,--,--,--
SZ002529,海源复材,--,0.13%,15.66,0.02,15.65,15.66,4861831,76599616,72300--,0.06%,0.06%,-1.57%,-0.61,1.87%,-4.63,4071600000,4071600000,100.00%,2386294,2475537,0.964,--,无,无,-0.04,1.06,,1411905,5.43,0.005,其他专用设备,专用设备,15.64,15.91,1.73%,16.13,15.51,-7.88%,-5.95%,-13.10%,-49.07%,3.96%,6900,200,11065,--,-11.17,--,260000000,260000000,-1219330亿,108.80%,2.89,4,-3.38,--,--,--
SH603819,神力股份,--,0.13%,15.71,0.02,15.71,15.72,849012,13324209,8200--,0.00%,0.00%,-0.38%,0.1,0.39%,48.15,3420541200,3420541200,100.00%,452732,396280,1.14,--,无,无,0.02,0.43,52.54,37626365,4.08,0.173,电机,电力设备,15.69,15.77,0.51%,15.93,15.58,-4.44%,-2.06%,-7.10%,6.91%,2.23%,3000,500,2542,0,100,--,217730190,217730190,40480417亿,672.90%,3.85,0,-3.07,--,--,--
SH688230,芯导科技,--,0.13%,55.59,0.07,55.55,55.59,218113,12177430,4541--,0.14%,0.14%,-1.17%,-0.43,1.12%,46.93,4669560000,1087046110,23.28%,139665,78448,1.78,--,无,无,-0.1,0.84,39.08,68580464,2.2,0.816,分立器件,半导体及元件,55.52,56.25,1.31%,56.55,55,-7.30%,-11.41%,-12.73%,-45.31%,2.79%,11645,110,552,--,-45.79,--,84000000,19554706,74844277亿,7.81%,25.24,7,40.41,--,--,--
SH603878,武进不锈,--,0.12%,8.13,0.01,8.12,8.13,4313924,35097401,31100--,0.00%,0.00%,-1.09%,-0.07,1.08%,-27.59,3258169400,3258169400,100.00%,2195212,2118712,1.04,--,无,无,-0.04,0.97,20.5,82426201,1.33,0.21,普钢,钢铁,8.12,8.22,1.23%,8.39,8,-9.77%,-7.30%,-7.30%,20.80%,4.80%,12500,164744,11984,0,-100,--,400758850,400758850,94712284亿,-17.42%,6.11,2,2.69,--,--,--
SH603799,华友钴业,--,0.12%,65.48,0.08,65.47,65.48,35352389,2316442200,184300--,0.00%,0.00%,-0.03%,-0.07,2.24%,0.8,1.05E+11,1.03E+11,98.84%,19086536,16265853,1.17,--,有,无,-0.07,1.75,22.34,2255513700,4.77,1.41,能源金属,小金属,65.4,65.5,0.15%,66.56,64.1,-10.39%,-10.25%,-12.39%,-22.62%,3.76%,31552,53494,94191,0.01,-5.68,--,1597920500,1579374700,3561827700亿,53.60%,13.74,3,38.97,--,--,--
SZ300964,本川智能,--,0.12%,24.83,0.03,24.83,24.84,217418,5418372,5300--,-0.04%,-0.04%,-0.08%,-0.37,0.73%,-35.82,1919316400,738916810,38.50%,141118,76300,1.85,--,无,无,0.04,0.6,56.93,22704917,1.93,0.29,印制电路板,半导体及元件,24.8,24.85,0.20%,25.12,24.7,-7.04%,-8.38%,-9.45%,-38.68%,1.69%,1700,500,850,--,100,--,77298284,29759034,24122729亿,-47.07%,12.84,4,-8.6,--,--,--
SH600887,伊利股份,--,0.12%,33.3,0.04,33.29,33.3,31754170,1061022710,577400--,0.03%,0.03%,0.12%,-0.34,0.51%,23.47,2.13E+11,2.09E+11,98.11%,17483218,14270952,1.23,--,无,有,0.01,0.86,22.39,6132558700,4.55,0.96,乳品,食品加工制造,33.26,33.26,0.00%,33.85,33.06,4.06%,-1.16%,-6.83%,-17.78%,2.38%,19000,32409,58103,0.02,3.73,--,6399345300,6278239600,7099199800亿,15.23%,7.31,1,-7.23,--,--,--
SZ002441,众业达,--,0.12%,8.35,0.01,8.35,8.37,3904600,32727346,36700--,0.00%,0.00%,-0.83%,-0.38,0.98%,-9.64,4546939100,3331063200,73.26%,2185050,1719550,1.27,--,无,无,0,0.71,10.39,232935620,0.989,0.43,输变电设备,电力设备,8.34,8.42,0.96%,8.5,8.3,-4.68%,-5.97%,-12.01%,-15.23%,2.40%,37800,7200,7877,--,2.72,--,544543610,398929730,300472920亿,10.49%,8.45,4,0,--,--,--
SH600420,国药现代,--,0.12%,8.45,0.01,8.45,8.46,3128002,26593683,24200↑,0.12%,0.12%,0.00%,-0.61,0.30%,-3.45,8677998900,8677998900,100.00%,1720650,1407352,1.22,--,无,无,-0.01,0.86,23.65,224850310,1.03,0.219,化学制剂,化学制药,8.44,8.45,0.12%,8.57,8.4,-2.20%,-5.27%,-5.06%,-17.72%,2.01%,4500,24400,6003,0,-12.37,--,1026982120,1026982120,425034120亿,-47.23%,8.23,4,0.51,--,--,--
SZ002009,天奇股份,--,0.12%,17.01,0.02,17,17.01,3824594,65095564,24600--,0.00%,0.00%,-1.56%,-0.06,1.03%,-31.78,6451883400,6296700300,97.59%,2137977,1686617,1.27,--,有,无,0.01,0.78,27.54,161453190,2.87,0.44,其他专用设备,专用设备,16.99,17.28,1.71%,17.28,16.81,-4.92%,-1.51%,-11.54%,-29.51%,2.77%,9400,8400,8531,--,2.53,--,379299430,370176380,188912610亿,107.40%,5.92,0,-4.84,--,--,--
SZ300748,金力永磁,--,0.12%,34.09,0.04,34.08,34.09,4873947,167156950,48700--,0.00%,0.00%,-1.22%,-0.61,0.69%,-8.26,28513920000,23984558000,84.12%,2590878,2283069,1.13,--,无,无,0.01,0.58,40.94,463832750,4.38,0.55,磁性材料,金属新材料,34.05,34.51,1.35%,34.7,33.89,-5.23%,-4.19%,-8.29%,-23.63%,2.38%,4100,19400,22096,0.01,8.01,--,836430630,703565790,522653840亿,110.50%,7.78,2,-2.19,--,--,--
SZ002169,智光电气,--,0.12%,8.7,0.01,8.7,8.71,24756710,214357460,345900--,0.69%,0.69%,-0.68%,0.48,3.24%,74.46,6853790300,6644728200,96.95%,11521486,13235224,0.871,--,无,无,0.28,0.79,,-206906120,2.26,-0.269,电气自控设备,电力设备,8.69,8.76,0.81%,8.82,8.49,-3.01%,0.46%,-12.91%,-27.26%,3.80%,401400,5300,33790,--,23.95,--,787791990,763761870,-245701890亿,-128.70%,3.84,0,-20.14,--,--,--
SZ300083,创世纪,--,0.11%,8.78,0.01,8.78,8.79,7118213,62823791,122100--,0.00%,0.00%,-1.13%,-0.52,0.53%,44.06,13549089000,11806866700,87.14%,3846171,3272042,1.18,--,无,无,0.01,0.73,25.58,280081700,4.08,0.18,机床工具,通用设备,8.77,8.88,1.25%,8.93,8.74,-3.83%,-3.09%,-12.64%,-38.52%,2.17%,27000,31700,8186,--,4.95,--,1543176400,1344745600,366289140亿,11.76%,2.15,4,0,--,--,--
SZ000823,超声电子,--,0.11%,8.85,0.01,8.84,8.85,4119379,36687273,65000--,0.11%,0.11%,-1.01%,-0.63,0.77%,-2.39,4752350900,4751948300,99.99%,1985086,2134293,0.93,--,无,无,0.05,0.82,12.49,175012790,1.14,0.326,印制电路板,半导体及元件,8.84,8.94,1.13%,8.99,8.81,-5.14%,-8.20%,-14.16%,-34.54%,2.04%,5500,6100,9360,--,16.71,--,536988800,536943310,258616340亿,2.78%,7.75,5,-4.1,--,--,--
SZ301093,华兰股份,--,0.11%,26.56,0.03,26.56,26.57,346189,9276106,600↓,0.04%,0.04%,-0.15%,-0.89,1.06%,-43.51,3576746700,867524340,24.25%,181140,165049,1.1,--,无,无,0.02,0.94,21.77,56149154,1.5,0.42,医疗耗材,医疗器械,26.53,26.6,0.26%,27.1,26.5,-2.82%,-7.94%,-11.11%,-48.43%,2.26%,1500,800,1154,--,21.9,--,134666670,32662814,65798717亿,-47.95%,17.66,3,-9.18,--,--,--
SZ300024,机器人,--,0.11%,8.91,0.01,8.91,8.92,9510559,85358597,2000--,-0.11%,-0.11%,-1.44%,-0.73,0.63%,-8.35,13812388000,13422839000,97.18%,4889479,4621080,1.06,--,无,无,0,0.81,,-148608230,3.43,-0.096,机器人,自动化设备,8.9,9.04,1.57%,9.1,8.86,-4.30%,-4.71%,-8.80%,-20.23%,2.70%,18956,87680,10385,0.01,-1.48,--,1550212000,1506491400,-177942030亿,25.07%,2.6,5,4.26,--,--,--
SH600021,上海电力,--,0.11%,9.09,0.01,9.08,9.09,41863898,381713470,561200↑,-0.11%,-0.11%,-0.87%,-0.31,1.60%,-9.35,25604200000,23790023000,92.91%,21382299,20481599,1.04,--,无,无,-0.15,0.64,,-47376535,1.63,-0.043,火电,电力,9.08,9.17,0.99%,9.25,9,-13.10%,-13.59%,-7.43%,-29.10%,2.75%,132700,21900,44210,0,-23.18,--,2816743600,2617164200,943327720亿,-106.50%,5.58,5,15.92,--,--,--
SH600523,贵航股份,--,0.11%,18.32,0.02,18.25,18.32,2789534,51433382,66600--,0.49%,0.49%,-2.97%,-0.64,0.69%,38.98,7406983400,7402097400,99.93%,1502646,1286888,1.17,--,无,无,0.01,0.55,67.09,43702762,2.72,0.11,汽车零部件,汽车零部件,18.3,18.88,3.17%,18.88,18.15,-9.53%,-13.71%,-19.30%,-24.51%,3.99%,9000,14700,7219,0,3.32,--,404311320,404044620,58120384亿,-49.29%,6.74,5,-1.91,--,--,--
SH688012,中微公司,--,0.11%,110.62,0.12,110.62,110.64,2589754,287600950,691--,-0.11%,-0.11%,-1.12%,-0.39,0.43%,84.63,68168964000,67258930000,98.67%,1527091,1062663,1.44,--,无,无,-0.01,0.55,62.97,467793950,4.64,0.76,半导体设备,半导体及元件,110.5,111.87,1.24%,112.35,110.15,-5.28%,-12.88%,-10.20%,-12.62%,1.99%,3579,977,9536,0,-4.27,--,616244480,608017810,508295690亿,17.94%,23.83,6,8.93,--,--,--
SH688550,瑞联新材,--,0.11%,55.65,0.06,55.65,55.68,489926,27474691,7730--,-0.32%,-0.32%,-0.41%,-0.77,0.68%,6.3,5457895100,4035046300,73.93%,251653,238273,1.06,--,无,无,-0.24,0.7,18.21,161169530,1.91,1.65,电子化学品,电子化学品,55.59,55.88,0.52%,56.75,55.65,-8.80%,-7.88%,-17.29%,-20.07%,1.98%,3802,1000,1533,0,-87.25,--,98075383,72507571,183007980亿,59.22%,29.2,5,123.41,--,--,--
SZ300926,博俊科技,--,0.11%,27.88,0.03,27.87,27.88,2668400,74101851,67200--,0.04%,0.04%,-0.82%,0.39,6.84%,5.84,4318759800,1088251190,25.20%,1286062,1382338,0.93,--,无,无,-0.33,0.67,44.8,38186161,3.71,0.247,汽车零部件,汽车零部件,27.85,28.11,0.93%,28.47,27.01,-5.30%,1.94%,10.55%,17.74%,5.24%,7100,4257,7054,--,-13.62,--,154905300,39033400,45099205亿,46.81%,7.52,1,-9.69,--,--,--
SZ002463,沪电股份,--,0.10%,10.09,0.01,10.08,10.09,16738367,170067720,181300--,0.00%,0.00%,-1.08%,-0.7,0.88%,-3.49,19137287000,19127216000,99.95%,8490738,8247629,1.03,--,无,无,0.01,0.8,17.13,533907640,2.58,0.282,印制电路板,半导体及元件,10.08,10.2,1.19%,10.3,10.02,-6.31%,-10.71%,-15.64%,-38.59%,2.78%,100944,139040,24573,0.01,3.43,--,1896658800,1895660700,614456890亿,11.16%,3.92,5,0.72,--,--,--
SZ300818,耐普矿机,--,0.10%,30.61,0.03,30.61,30.63,573700,17625772,20500--,0.16%,0.16%,-1.26%,-0.37,1.80%,44.6,2142733700,975819280,45.54%,360350,213350,1.69,--,无,无,0.1,0.82,8.14,129863911,1.88,1.9,磨具磨料,通用设备,30.58,31,1.37%,31.27,30.27,-3.29%,-4.73%,-7.07%,-38.04%,3.27%,5300,1400,2172,--,100,--,70001101,31879101,150005180亿,156.30%,16.27,4,-16.57,--,--,--
SH688589,力合微,--,0.10%,30.67,0.03,30.64,30.67,988795,30357677,900--,-0.03%,-0.03%,-0.87%,-0.1,1.74%,18.24,3072973600,1738113000,56.56%,554323,434472,1.28,--,无,无,-0.11,0.78,53.37,31742534,4.02,0.317,集成电路设计,半导体及元件,30.64,30.94,0.98%,31.21,30.31,-6.01%,-10.45%,-13.07%,-57.56%,2.94%,3000,6910,2854,0,-29.27,--,100194770,56671437,34172657亿,95.98%,7.64,5,30.57,--,--,--
SZ300718,长盛轴承,--,0.09%,21.1,0.02,21.1,21.11,4813013,100296971,26900--,-0.33%,-0.33%,-2.50%,1.24,2.60%,61.83,6288022600,3907888000,62.15%,2535577,2277436,1.11,--,无,有,-0.1,0.66,44.54,77692518,4.71,0.261,工程机械,专用设备,21.08,21.64,2.66%,21.66,20,-5.47%,-0.61%,19.21%,27.65%,7.87%,18800,700,15790,--,-13.61,--,298010550,185207960,91812794亿,-15.16%,4.48,1,0,--,--,--
SH688272,富吉瑞,--,0.09%,21.18,0.02,21.18,21.28,269418,5742231,86--,-0.52%,-0.52%,-1.67%,-0.63,1.67%,-35.02,1609680000,342057000,21.25%,155397,114021,1.36,--,有,无,0,0.79,768.2,-43244718,2.56,-0.57,军工电子,国防军工,21.16,21.54,1.80%,21.54,21,-7.71%,-7.75%,-18.97%,-55.06%,2.55%,2426,5200,740,--,--,--,76000000,16150000,-43610451亿,-239.00%,8.26,4,0,--,--,--
SH688267,中触媒,--,0.09%,31.94,0.03,31.94,31.96,272652,8709858,2017--,-0.19%,-0.19%,-1.69%,-0.02,0.71%,7.23,5627828000,1226586070,21.80%,117381,155271,0.756,--,无,无,0.04,0.28,45.36,75564634,2.2,0.47,非金属材料,非金属材料,31.91,32.49,1.82%,32.49,31.33,1.08%,2.04%,1.08%,-23.35%,3.64%,436,200,684,--,16.75,--,176200000,38402820,85189086亿,-11.28%,14.52,0,0,--,--,--
SZ002928,华夏航空,--,0.09%,10.83,0.01,10.83,10.84,6545812,70103100,134500--,1.03%,1.03%,0.00%,1.11,0.65%,68.44,10976937600,10976936800,100.00%,3229625,3316187,0.974,--,无,无,0.02,1.4,,-951272770,4.12,-0.943,航空运输,机场航运,10.82,10.83,0.09%,11,10.45,1.03%,-1.55%,-3.65%,-14.05%,5.08%,66400,600,13421,--,40.77,--,1013567640,1013567570,-1136521490亿,-8259%,2.63,0,-1.92,--,--,--
SH688253,英诺特,--,0.09%,21.95,0.02,21.95,21.97,661026,14713825,21985--,-0.05%,-0.05%,-1.08%,-1.41,2.31%,71.64,2986534900,627529670,21.01%,376749,284277,1.33,--,无,无,-0.07,0.98,22.4,108568992,1.81,0.798,体外诊断,医疗器械,21.93,22.19,1.19%,22.64,21.92,-6.36%,-9.30%,-13.17%,-15.77%,3.28%,11615,520,1255,--,-34.77,--,136060820,28589051,120841227亿,13.67%,12.1,4,18.42,--,--,--
SH600668,尖峰集团,--,0.09%,11,0.01,11,11.01,4615778,51454403,60600--,-0.09%,-0.09%,-1.17%,-1.34,1.34%,-7.87,3784922100,3784922100,100.00%,2500748,2115030,1.18,--,无,无,0.08,1.26,5.05,144483200,0.739,0.42,水泥,建筑材料,10.99,11.13,1.27%,11.46,10.92,-4.84%,-9.54%,-9.39%,-38.13%,4.91%,29099,39717,7686,0,37.24,--,344083830,344083830,229278710亿,-54.78%,14.88,6,-12.22,--,--,--
SZ300035,中科电气,--,0.09%,22.6,0.02,22.57,22.6,8432468,191184240,98500--,-0.22%,-0.22%,0.09%,-0.32,1.58%,-38.83,16346823000,12051579900,73.72%,4452682,3979786,1.12,--,无,有,-0.19,1.15,34.86,262945670,3.41,0.364,电池,电力设备,22.58,22.58,0.00%,23.08,22.41,-4.56%,-4.64%,-14.43%,-24.92%,2.97%,3100,14300,17463,0,-26.41,--,723310770,533255750,298639930亿,64.91%,6.62,3,24.45,--,--,--
SH600371,万向德农,--,0.09%,11.34,0.01,11.34,11.35,3557997,40539345,78500↑,0.00%,0.00%,-1.05%,-0.48,1.22%,-54.31,3317834500,3317834500,100.00%,2030462,1527535,1.33,--,无,无,0.04,0.58,48.23,48512176,6.03,0.166,种子生产,种植业与林业,11.33,11.46,1.15%,11.55,11.2,-12.63%,-13.96%,-14.22%,-14.86%,3.09%,5700,16500,5916,0,28.53,--,292578000,292578000,54040505亿,174.50%,1.88,6,-6.17,--,--,--
SZ300848,美瑞新材,--,0.09%,23,0.02,23,23.02,1729650,39944988,26200--,-0.13%,-0.13%,-1.03%,-0.41,2.49%,-24.34,4600230000,1595211000,34.68%,902100,827550,1.09,--,无,无,-0.23,0.96,35.62,55565638,5.01,0.28,聚氨酯,化学制品,22.98,23.24,1.13%,23.54,22.86,-6.66%,-5.35%,-13.89%,9.63%,2.96%,3600,3800,7140,--,-22.91,--,200010000,69357000,66189277亿,21.95%,4.59,4,24.45,--,--,--
SZ300685,艾德生物,--,0.09%,23.2,0.02,23.2,23.22,4505333,106677809,28400--,0.00%,0.00%,-0.85%,-2.06,1.13%,30.53,9237231600,9224018500,99.86%,2152319,2353014,0.915,--,无,无,0.05,1.7,42.46,89287753,6.63,0.22,体外诊断,医疗器械,23.18,23.4,0.95%,24.1,23.07,0.30%,-3.17%,-7.42%,-44.53%,4.44%,6300,1480,15788,0,29.34,--,398156540,397587010,105697767亿,-19.79%,3.5,0,-11.48,--,--,--
SZ300549,优德精密,--,0.08%,11.8,0.01,11.8,11.85,660500,7821038,4800--,-0.08%,-0.09%,-0.25%,-0.35,0.65%,-56.6,1573412000,1192445170,75.79%,375000,285500,1.31,--,无,无,-0.01,1.11,56.26,10316496,2.97,0.08,其他专用设备,专用设备,11.79,11.83,0.34%,12.06,11.7,-5.75%,-7.45%,-10.06%,-30.47%,3.05%,1400,800,1393,--,-3.99,--,133340000,101054675,12224710亿,-50.34%,3.97,4,4.69,--,--,--
SZ300054,鼎龙股份,--,0.08%,24.02,0.02,24.02,24.03,6949540,167307320,109700--,0.00%,0.00%,-0.95%,-0.23,0.94%,21.4,22731015000,17667514000,77.72%,3832400,3117140,1.23,--,无,无,-0.01,0.65,71.8,194457230,5.73,0.205,电子化学品,电子化学品,24,24.25,1.04%,24.39,23.8,-3.07%,-4.53%,5.77%,-1.23%,2.46%,43700,3600,16295,0.01,-1.17,--,946337010,735533460,257109030亿,112.70%,4.19,1,-3.48,--,--,--
