date,open,close,high,low,volume
2014-01-09,9.283,9.209,9.347999999999999,9.097000000000001,3919.0
2014-01-10,9.135,9.014,9.218,8.949,4730.0
2014-01-13,9.005,8.81,9.152999999999999,8.755,6584.0
2014-01-14,8.81,8.921,8.94,8.792,3764.0
2014-01-15,8.884,8.931000000000001,8.977,8.866,4048.0
2014-01-16,8.931000000000001,8.977,9.033,8.894,3433.0
2014-01-17,8.949,8.847000000000001,9.014,8.847000000000001,3648.0
2014-01-20,8.801,8.755,8.977,8.736,3903.0
2014-01-21,8.801,8.894,8.968,8.801,3549.0
2014-01-22,8.884,9.422,9.524,8.875,20378.0
2014-01-23,9.402999999999999,9.264,9.514,9.218,7060.0
2014-01-24,9.246,9.375,9.45,9.227,6033.0
2014-01-27,9.292,9.264,9.375,9.236,5448.0
2014-01-28,9.402999999999999,9.264,9.402999999999999,9.218,3505.0
2014-01-29,9.246,9.255,9.32,9.227,2852.0
2014-01-30,9.209,9.246,9.292,9.181000000000001,2960.0
2014-02-07,9.227,9.255,9.274,9.135,3397.0
2014-02-10,9.255,9.477,9.496,9.246,10138.0
2014-02-11,9.533,9.496,9.616,9.402999999999999,8171.0
2014-02-12,9.533,9.496,9.57,9.412,6234.0
2014-02-13,9.487,9.588,9.727,9.402999999999999,15751.0
2014-02-14,9.588,9.588,9.644,9.496,9903.0
2014-02-17,9.597999999999999,9.644,9.672,9.551,7368.0
2014-02-18,9.626,9.412,9.663,9.375,8263.0
2014-02-19,9.431000000000001,9.607000000000001,9.616,9.412,13057.0
2014-02-20,9.616,9.385,9.626,9.375,12138.0
2014-02-21,9.385,9.255,9.468,9.218,10139.0
2014-02-24,9.255,9.097000000000001,9.255,8.959,12494.0
2014-02-25,9.079,8.81,9.152999999999999,8.755,9070.0
2014-02-26,8.81,8.902999999999999,8.921,8.718,5507.0
2014-02-27,8.912,9.042,9.236,8.245,13919.0
2014-02-28,9.005,9.051,9.051,8.708,7486.0
2014-03-03,9.06,9.033,9.06,8.801,7461.0
2014-03-04,9.042,9.079,9.172,8.902999999999999,8264.0
2014-03-05,9.079,9.097000000000001,9.255,9.079,5617.0
2014-03-06,9.107000000000001,9.125,9.236,8.782,13335.0
2014-03-07,9.172,9.116,9.218,9.097000000000001,10829.0
2014-03-10,9.116,8.801,9.116,8.792,6696.0
2014-03-11,8.801,8.773,8.866,8.69,5409.0
2014-03-12,8.782,8.773,8.829,8.616,3322.0
2014-03-13,8.792,8.82,8.857000000000001,8.727,8144.0
2014-03-14,8.801,8.764,8.847000000000001,8.616,6138.0
2014-03-17,8.764,8.792,8.801,8.625,4620.0
2014-03-18,8.792,8.857000000000001,8.894,8.708,9395.0
2014-03-19,8.866,8.82,8.866,8.736,2671.0
2014-03-20,8.82,8.523,8.968,8.523,9884.0
2014-03-21,8.477,8.755,8.792,8.43,7805.0
2014-03-24,8.755,9.152999999999999,9.264,8.727,17101.0
2014-03-25,9.311,9.172,9.505,9.125,20494.0
2014-03-26,9.236,8.996,9.246,8.931000000000001,8184.0
2014-03-27,9.014,9.097000000000001,9.172,8.902999999999999,8199.0
2014-03-28,9.097000000000001,8.847000000000001,9.152999999999999,8.81,7815.0
2014-03-31,8.801,8.838,9.033,8.727,6321.0
2014-04-01,8.829,9.005,9.014,8.708,5750.0
2014-04-02,9.005,9.088,9.218,8.94,9132.0
2014-04-03,9.199,8.968,9.199,8.94,7708.0
2014-04-04,8.949,8.968,9.014,8.82,11349.0
2014-04-08,8.894,8.986,9.023,8.801,7823.0
2014-04-09,8.894,9.088,9.088,8.894,7904.0
2014-04-10,9.152999999999999,9.07,9.172,9.005,9166.0
2014-04-11,9.079,9.107000000000001,9.162,9.07,9361.0
2014-04-14,9.079,9.116,9.125,9.014,8234.0
2014-04-15,9.125,9.06,9.125,9.042,5183.0
2014-04-16,9.06,9.079,9.107000000000001,9.042,3900.0
2014-04-17,9.088,9.107000000000001,9.116,9.042,4313.0
2014-04-18,9.06,8.959,9.125,8.949,5643.0
2014-04-21,8.894,8.764,8.949,8.755,6734.0
2014-04-22,8.755,8.597000000000001,8.782,8.514,9261.0
2014-04-23,8.606,8.597000000000001,8.718,8.551,5549.0
2014-04-24,8.597000000000001,8.644,8.69,8.597000000000001,3607.0
2014-04-25,8.652999999999999,9.255,9.505,8.597000000000001,62349.0
2014-04-28,9.227,9.737,9.931000000000001,9.152999999999999,83416.0
2014-04-29,9.718,9.385,9.718,9.19,54830.0
2014-04-30,9.357000000000001,9.496,9.514,9.144,43288.0
2014-05-05,9.375,9.152999999999999,9.375,8.996,54344.0
2014-05-06,9.144,9.088,9.218,9.005,33761.0
2014-05-07,9.088,9.542,9.681000000000001,9.033,69787.0
2014-05-08,9.542,9.672,10.052,9.412,70345.0
2014-05-09,9.542,9.514,9.7,9.402999999999999,41105.0
2014-05-12,9.588,9.551,9.652999999999999,9.366,36391.0
2014-05-13,9.487,9.885,9.95,9.375,49128.0
2014-05-14,9.876,9.533,9.876,9.524,32549.0
2014-05-15,9.44,9.329,9.542,9.32,21125.0
2014-05-16,9.264,9.431000000000001,9.468,9.264,13032.0
2014-05-19,9.357000000000001,9.246,9.402999999999999,9.172,14587.0
2014-05-20,9.209,9.19,9.338,9.088,11945.0
2014-05-21,9.227,9.375,9.431000000000001,9.107000000000001,16907.0
2014-05-22,9.338,9.255,9.431000000000001,9.246,12149.0
2014-05-23,9.292,9.385,9.459,9.107000000000001,14040.0
2014-05-26,9.366,9.533,9.533,9.32,16261.0
2014-05-27,9.561,9.347999999999999,9.561,9.32,14708.0
2014-05-28,9.32,9.422,9.431000000000001,9.301,7994.0
2014-05-29,9.422,9.227,9.431000000000001,9.218,7824.0
2014-05-30,9.227,9.246,9.311,9.152999999999999,7521.0
2014-06-03,9.246,9.144,9.264,9.116,6600.0
2014-06-04,9.125,8.968,9.152999999999999,8.94,10783.0
2014-06-05,8.968,9.06,9.079,8.81,8346.0
2014-06-06,9.088,8.894,9.107000000000001,8.884,10305.0
2014-06-09,8.894,8.894,8.986,8.82,5507.0
2014-06-10,8.902999999999999,8.996,9.005,8.875,5566.0
2014-06-11,8.977,9.033,9.079,8.977,13560.0
2014-06-12,9.033,9.033,9.088,8.959,8923.0
2014-06-13,9.014,9.079,9.107000000000001,8.986,5580.0
2014-06-16,9.079,9.005,9.135,8.959,10113.0
2014-06-17,9.051,9.06,9.07,8.959,6709.0
2014-06-18,9.06,8.912,9.06,8.894,5234.0
2014-06-19,8.94,8.745,8.94,8.736,5954.0
2014-06-20,8.745,8.82,8.838,8.727,3498.0
2014-06-23,8.82,8.838,8.894,8.82,4335.0
2014-06-24,8.902999999999999,8.884,8.902999999999999,8.82,3887.0
2014-06-25,8.902999999999999,8.894,8.902999999999999,8.857000000000001,3414.0
2014-06-26,9.007,8.997,9.016,8.902999999999999,3974.0
2014-06-27,8.988,9.007,9.035,8.96,3533.0
2014-06-30,9.007,9.111,9.224,8.978,6171.0
