date,open,close,high,low,volume
2014-01-09,2.371,2.35,2.384,2.327,2196.0
2014-01-10,2.319,2.3169999999999997,2.343,2.296,1300.0
2014-01-13,2.301,2.2880000000000003,2.343,2.281,1433.0
2014-01-14,2.299,2.3040000000000003,2.309,2.278,1502.0
2014-01-15,2.307,2.307,2.325,2.283,1444.0
2014-01-16,2.33,2.307,2.332,2.294,2779.0
2014-01-17,2.3040000000000003,2.307,2.307,2.245,2422.0
2014-01-20,2.307,2.283,2.307,2.242,1710.0
2014-01-21,2.286,2.301,2.301,2.255,1841.0
2014-01-22,2.322,2.3369999999999997,2.3369999999999997,2.294,4963.0
2014-01-23,2.332,2.314,2.35,2.299,1848.0
2014-01-24,2.319,2.343,2.366,2.294,4499.0
2014-01-27,2.3369999999999997,2.345,2.384,2.299,3626.0
2014-01-28,2.3480000000000003,2.332,2.376,2.307,2465.0
2014-01-29,2.335,2.35,2.355,2.319,3717.0
2014-01-30,2.33,2.345,2.358,2.309,3307.0
2014-02-07,2.343,2.3890000000000002,2.404,2.3369999999999997,7287.0
2014-02-10,2.397,2.404,2.4459999999999997,2.371,8679.0
2014-02-11,2.42,2.412,2.443,2.399,6645.0
2014-02-12,2.415,2.492,2.515,2.415,7824.0
2014-02-13,2.5,2.438,2.5,2.435,4646.0
2014-02-14,2.441,2.489,2.513,2.441,4380.0
2014-02-17,2.495,2.513,2.559,2.489,8258.0
2014-02-18,2.497,2.51,2.5380000000000003,2.484,3542.0
2014-02-19,2.51,2.484,2.526,2.469,4691.0
2014-02-20,2.487,2.459,2.513,2.459,3515.0
2014-02-21,2.456,2.461,2.461,2.4219999999999997,2857.0
2014-02-24,2.441,2.459,2.4659999999999997,2.4219999999999997,2405.0
2014-02-25,2.456,2.438,2.497,2.335,6007.0
2014-02-26,2.415,2.4459999999999997,2.4530000000000003,2.35,2842.0
2014-02-27,2.4530000000000003,2.425,2.4659999999999997,2.415,3011.0
2014-02-28,2.404,2.397,2.4219999999999997,2.345,4903.0
2014-03-03,2.381,2.392,2.4019999999999997,2.35,5530.0
2014-03-04,2.374,2.412,2.415,2.374,3310.0
2014-03-05,2.4219999999999997,2.459,2.479,2.415,5840.0
2014-03-06,2.43,2.508,2.515,2.42,8371.0
2014-03-07,2.508,2.51,2.523,2.484,3075.0
2014-03-10,2.52,2.5669999999999997,2.6239999999999997,2.505,25230.0
2014-03-11,2.5669999999999997,2.6289999999999996,2.6289999999999996,2.536,22731.0
2014-03-13,2.742,2.642,2.889,2.6260000000000003,110954.0
2014-03-14,2.5,2.448,2.616,2.379,62718.0
2014-03-17,2.379,2.412,2.438,2.281,38171.0
2014-03-18,2.381,2.443,2.505,2.381,34505.0
2014-03-19,2.407,2.379,2.435,2.3480000000000003,25816.0
2014-03-20,2.379,2.3890000000000002,2.484,2.345,30032.0
2014-03-21,2.355,2.392,2.404,2.296,20923.0
2014-03-24,2.392,2.41,2.42,2.363,17816.0
2014-03-25,2.397,2.412,2.4330000000000003,2.374,15549.0
2014-03-26,2.4019999999999997,2.384,2.4219999999999997,2.381,12997.0
2014-03-27,2.386,2.435,2.469,2.381,24592.0
2014-03-28,2.4219999999999997,2.358,2.441,2.358,16076.0
2014-03-31,2.3609999999999998,2.286,2.376,2.283,13951.0
2014-04-01,2.286,2.35,2.358,2.27,12283.0
2014-04-02,2.35,2.34,2.366,2.332,5709.0
2014-04-03,2.34,2.332,2.355,2.319,4834.0
2014-04-04,2.325,2.335,2.343,2.312,4209.0
2014-04-08,2.322,2.34,2.353,2.299,8963.0
2014-04-09,2.332,2.353,2.3609999999999998,2.327,10627.0
2014-04-10,2.345,2.35,2.3680000000000003,2.327,19581.0
2014-04-11,2.34,2.345,2.3480000000000003,2.322,11111.0
2014-04-14,2.345,2.371,2.371,2.332,13476.0
2014-04-15,2.371,2.345,2.371,2.343,8730.0
2014-04-16,2.34,2.3480000000000003,2.371,2.335,6499.0
2014-04-17,2.355,2.332,2.358,2.2680000000000002,27935.0
2014-04-18,2.314,2.343,2.343,2.283,8585.0
2014-04-21,2.332,2.332,2.343,2.291,8082.0
2014-04-22,2.327,2.33,2.343,2.309,9359.0
2014-04-23,2.327,2.309,2.332,2.301,4150.0
2014-04-24,2.322,2.319,2.322,2.299,7862.0
2014-04-25,2.3040000000000003,2.3040000000000003,2.319,2.283,6585.0
2014-04-28,2.286,2.229,2.296,2.1959999999999997,9660.0
2014-04-29,2.198,2.247,2.25,2.198,3759.0
2014-04-30,2.237,2.2880000000000003,2.291,2.234,5441.0
2014-05-05,2.2680000000000002,2.5180000000000002,2.5180000000000002,2.2680000000000002,47740.0
2014-05-06,2.5180000000000002,2.52,2.526,2.451,24214.0
2014-05-07,2.495,2.464,2.495,2.4530000000000003,13736.0
2014-05-08,2.464,2.4530000000000003,2.51,2.438,9654.0
2014-05-09,2.443,2.353,2.4819999999999998,2.327,17030.0
2014-05-12,2.3480000000000003,2.392,2.397,2.345,7145.0
2014-05-13,2.384,2.487,2.5380000000000003,2.384,15986.0
2014-05-14,2.497,2.479,2.531,2.425,12174.0
2014-05-15,2.469,2.477,2.52,2.438,9844.0
2014-05-16,2.489,2.51,2.533,2.448,14735.0
2014-05-19,2.5180000000000002,2.5,2.5639999999999996,2.4530000000000003,10074.0
2014-05-20,2.479,2.469,2.531,2.461,5748.0
2014-05-21,2.451,2.469,2.4819999999999998,2.443,5373.0
2014-05-22,2.448,2.471,2.487,2.448,4345.0
2014-05-23,2.471,2.484,2.5,2.456,5785.0
2014-05-26,2.474,2.523,2.523,2.474,5187.0
2014-05-27,2.52,2.5980000000000003,2.642,2.5,15831.0
2014-05-28,2.616,2.575,2.616,2.528,8991.0
2014-05-29,2.559,2.546,2.59,2.546,5079.0
2014-05-30,2.546,2.531,2.549,2.487,5321.0
2014-06-03,2.533,2.5,2.5540000000000003,2.492,6059.0
2014-06-04,2.508,2.665,2.747,2.492,28541.0
2014-06-05,2.6519999999999997,2.634,2.678,2.585,12963.0
2014-06-06,2.6180000000000003,2.6910000000000003,2.77,2.595,15278.0
2014-10-15,2.9589999999999996,2.9589999999999996,2.9589999999999996,2.9589999999999996,501.0
2014-10-16,3.255,3.255,3.255,3.255,89.0
2014-10-17,3.58,3.58,3.58,3.58,3212.0
2014-10-20,3.935,3.938,3.938,3.608,96226.0
2014-10-21,3.866,3.763,3.889,3.7569999999999997,46550.0
2014-10-22,3.7569999999999997,3.611,3.832,3.611,31030.0
2014-10-23,3.569,3.5180000000000002,3.6289999999999996,3.4330000000000003,31243.0
2014-10-24,3.484,3.693,3.7569999999999997,3.4610000000000003,36044.0
2014-10-27,3.685,3.7110000000000003,3.773,3.6210000000000004,27107.0
2014-10-28,3.7030000000000003,3.75,3.765,3.6489999999999996,22709.0
2014-10-29,3.765,3.863,3.891,3.714,37053.0
2014-10-30,3.891,4.25,4.25,3.866,76322.0
2014-10-31,4.327,4.069,4.33,4.051,36516.0
2014-11-03,4.069,4.051,4.208,3.987,30453.0
2014-11-04,4.059,4.456,4.456,4.059,72223.0
2014-11-05,4.484,4.412,4.75,4.255,69570.0
2014-11-06,4.453,4.296,4.479,4.2780000000000005,34783.0
2014-11-07,4.252,4.196000000000001,4.355,4.126,31921.0
2014-11-10,4.196000000000001,4.2010000000000005,4.247,4.123,25256.0
2014-11-11,4.2139999999999995,3.9330000000000003,4.2139999999999995,3.8939999999999997,30857.0
2014-11-12,3.9019999999999997,4.056,4.077,3.9019999999999997,16449.0
2014-11-13,4.056,3.9760000000000004,4.072,3.943,11678.0
2014-11-14,3.935,3.964,4.059,3.912,9401.0
2014-11-17,3.964,3.9789999999999996,4.041,3.915,10322.0
2014-11-18,3.9789999999999996,4.064,4.123,3.9560000000000004,14066.0
2014-11-19,4.046,4.381,4.417,4.025,38105.0
2014-11-20,4.402,4.296,4.445,4.162,28180.0
2014-11-21,4.239,4.25,4.378,4.232,15554.0
2014-11-24,4.257,4.324,4.355,4.257,16665.0
2014-11-25,4.322,4.27,4.322,4.2010000000000005,16140.0
2014-11-26,4.27,4.268,4.324,4.2010000000000005,15394.0
2014-11-27,4.291,4.371,4.407,4.291,22003.0
2014-11-28,4.394,4.505,4.561,4.381,26837.0
2014-12-01,4.729,4.956,4.956,4.59,80130.0
2014-12-02,4.896,5.136,5.319,4.773,65470.0
2014-12-03,5.17,4.894,5.17,4.716,44570.0
2014-12-04,4.788,4.896,4.956,4.76,35629.0
2014-12-05,4.835,4.652,4.835,4.51,25451.0
2014-12-08,4.613,4.747,4.819,4.368,25050.0
2014-12-09,4.711,4.7139999999999995,4.845,4.479,38507.0
2014-12-10,4.5489999999999995,5.079,5.18,4.5489999999999995,40212.0
2014-12-11,5.051,5.18,5.211,4.948,33402.0
2014-12-12,5.1770000000000005,5.185,5.487,4.968999999999999,23996.0
2014-12-15,5.244,5.211,5.322,5.025,20468.0
2014-12-16,5.167000000000001,4.974,5.257000000000001,4.974,14331.0
2014-12-17,4.992,5.234,5.234,4.989,21612.0
2014-12-18,5.154,5.27,5.505,5.067,26316.0
2014-12-19,5.27,5.409,5.6339999999999995,5.025,38095.0
2014-12-22,5.452999999999999,5.775,5.95,5.452999999999999,61442.0
2014-12-23,5.76,6.072,6.164,5.541,24132.0
2014-12-24,6.082000000000001,6.2860000000000005,6.432,5.902,26816.0
2014-12-25,6.211,6.28,6.577000000000001,5.979,25226.0
2014-12-26,6.09,6.909,6.909,6.056,34869.0
2014-12-29,6.961,7.122999999999999,7.396,6.85,35721.0
2014-12-30,7.126,6.412000000000001,7.212999999999999,6.412000000000001,30327.0
2014-12-31,6.127999999999999,6.622999999999999,6.907,5.77,44942.0
2015-01-05,6.43,6.18,6.443,6.056,24845.0
2015-01-06,5.962999999999999,6.432,6.462999999999999,5.962999999999999,22214.0
2015-01-07,6.45,6.287999999999999,6.494,6.108,16615.0
2015-01-08,6.275,6.185,6.391,6.042999999999999,11015.0
2015-01-09,6.202999999999999,5.876,6.202999999999999,5.819,26747.0
2015-01-12,5.886,6.154,6.275,5.626,21747.0
2015-01-13,6.005,6.525,6.672000000000001,5.999,27518.0
2015-01-14,6.525,6.572,6.752000000000001,6.287999999999999,17457.0
2015-01-15,6.547999999999999,6.651,6.726,6.36,16983.0
2015-01-16,6.597,6.712999999999999,6.932,6.547999999999999,20607.0
2015-01-19,6.541,6.306,6.651,6.087000000000001,16216.0
2015-01-20,6.244,6.394,6.44,6.159,8573.0
2015-01-21,6.334,6.744,6.773,6.252000000000001,23869.0
2015-01-22,6.744,6.6979999999999995,6.829,6.622999999999999,13713.0
2015-01-23,6.726,6.932,7.035,6.644,25091.0
2015-01-26,7.023,7.396,7.4479999999999995,6.882999999999999,21210.0
2015-01-27,7.422000000000001,7.218,7.471,7.117999999999999,15325.0
2015-01-28,7.164,7.321000000000001,7.525,7.035,14688.0
2015-01-29,7.327000000000001,7.193,7.435,7.164,8074.0
2015-01-30,7.115,7.069,7.216,6.816,13049.0
2015-02-02,6.93,6.932,6.979,6.726,8443.0
2015-02-03,6.938,6.9270000000000005,7.216,6.881,7739.0
2015-02-04,6.9270000000000005,6.867999999999999,7.1129999999999995,6.7,9457.0
2015-02-05,6.989,6.695,6.989,6.546,8748.0
2015-02-06,6.649,6.445,6.702999999999999,6.252000000000001,12902.0
2015-02-09,6.445,5.801,6.445,5.801,19959.0
2015-02-10,5.67,5.479,5.814,5.234,45330.0
2015-02-11,5.445,6.023,6.025,5.414,49342.0
2015-02-12,6.03,6.287999999999999,6.412000000000001,5.67,23394.0
2015-02-13,6.287999999999999,6.237,6.391,6.064,26000.0
2015-02-16,6.237,6.311,6.36,6.03,17617.0
2015-02-17,6.257000000000001,6.42,6.726,6.188,17067.0
2015-02-25,6.443,6.327000000000001,6.443,6.252000000000001,6756.0
2015-02-26,6.332000000000001,6.396,6.417000000000001,6.249,7513.0
2015-02-27,6.396,6.303999999999999,6.396,6.211,8101.0
2015-03-02,6.407,6.287999999999999,6.44,6.211,10943.0
2015-03-03,6.287999999999999,6.005,6.287999999999999,5.935,16748.0
2015-03-04,6.122999999999999,6.159,6.237,6.005,11575.0
2015-03-05,6.224,6.6,6.669,6.159,25996.0
2015-03-06,6.636,6.724,6.888999999999999,6.632999999999999,21329.0
2015-03-09,6.649,6.814,6.95,6.3420000000000005,15807.0
2015-03-10,6.816,6.726,6.816,6.597,18561.0
2015-03-11,6.695,6.6979999999999995,6.767,6.535,29152.0
2015-03-12,6.695,6.894,6.907,6.535,36388.0
2015-03-13,6.896,6.984,7.01,6.726,40780.0
2015-03-16,7.056,7.007000000000001,7.422000000000001,6.971,65622.0
2015-03-17,7.035,6.767,7.035,6.595,57003.0
2015-03-18,6.7,6.695,6.737,6.574,35330.0
2015-03-19,6.695,6.707999999999999,6.718,6.617999999999999,25289.0
2015-03-20,6.712999999999999,6.631,6.724,6.61,31160.0
